frequency_hz,stock_mean_db,baseline_repeatability_db,stock_after_delta_db,pk_1000_plus12_q1_expected_db,pk_1000_plus12_q1_measured_raw_db,pk_1000_plus12_q1_measured_normalized_db,pk_1000_plus12_q1_error_db,pk_4000_minus12_q1_expected_db,pk_4000_minus12_q1_measured_raw_db,pk_4000_minus12_q1_measured_normalized_db,pk_4000_minus12_q1_error_db,three_band_100p9_1000m9_6000p9_expected_db,three_band_100p9_1000m9_6000p9_measured_raw_db,three_band_100p9_1000m9_6000p9_measured_normalized_db,three_band_100p9_1000m9_6000p9_error_db
22.0,18.95852810623331,-0.010185101134762675,-0.010849582353056775,0.0004886057105659663,0.003716772030703197,0.007058823514903783,0.0065702178043378166,-2.9235950554041092e-05,0.008633096078192182,0.006562204671387226,0.006591440621941266,0.032089724663877786,0.032532681479722214,0.05422755191283543,0.022137827248957645
22.301276318811666,18.99147275998401,-0.005367273649625304,-0.005973183099019508,0.0005020797022362916,0.002717000870127606,0.006059052354328192,0.005556972652091901,-3.004216956889298e-05,0.006327925422237257,0.004257034015432301,0.004287076185001194,0.0329757815655058,0.023983115069501793,0.04567798550261501,0.012702203937109212
22.606678429454096,18.99147275998401,-0.005367273649625304,-0.005973183099019508,0.0005159252541177003,0.002717000870127606,0.006059052354328192,0.005543127100210492,-3.087062110576258e-05,0.006327925422237257,0.004257034015432301,0.004287904636538064,0.033886336281971796,0.023983115069501793,0.04567798550261501,0.011791649220643213
22.91626283208068,19.06684523730094,-0.004215881991324721,-0.0069204430335751965,0.0005301526121941264,0.006870840544223711,0.010212892028424297,0.009682739416230171,-3.172191826372391e-05,-0.0028205671136163346,-0.004891458520421291,-0.004859736602157567,0.03482206793056804,0.01783034611855072,0.03952521655166394,0.004703148621095901
23.230086800579315,19.06684523730094,-0.004215881991324721,-0.0069204430335751965,0.0005447723049981317,0.006870840544223711,0.010212892028424297,0.009668119723426166,-3.259669103445606e-05,-0.0028205671136163346,-0.004891458520421291,-0.004858861829386834,0.035783674512837566,0.01783034611855072,0.03952521655166394,0.003741542038826373
23.548208393168135,19.14084314180527,0.005699623838715695,-0.00918456467281814,0.0005597951516863684,-0.004059968698310712,-0.0007179172141101257,-0.001277712365796494,-3.349558678250518e-05,-0.01813619014679091,-0.020207081553595865,-0.02017358596681336,0.03677187354226986,0.019572175595300223,0.04126704602841344,0.004495172486143582
23.87068646313649,19.14084314180527,0.005699623838715695,-0.00918456467281814,0.0005752322695110053,-0.004059968698310712,-0.0007179172141101257,-0.001293149483621131,-3.441927073711995e-05,-0.01813619014679091,-0.020207081553595865,-0.020172662282858744,0.03778740248544206,0.019572175595300223,0.04126704602841344,0.0034796435429713807
24.197580669732915,19.161755832490137,0.0014833420864768243,-0.0004316624096922794,0.0005910950822742781,0.007938481134814879,0.011280532619015465,0.010689437536741188,-3.536842646865928e-05,0.00762362283129292,0.005552731424487964,0.005588099850956623,0.0388310194154429,0.022420315346494135,0.04411518577960735,0.005284166364164455
24.528951489202257,19.161755832490137,0.0014833420864768243,-0.0004316624096922794,0.000607395329060292,0.007938481134814879,0.011280532619015465,0.010673137289955174,-3.634375638043088e-05,0.00762362283129292,0.005552731424487964,0.005589075180868395,0.03990350353966528,0.022420315346494135,0.04411518577960735,0.0042116822399420745
24.86486022597392,19.161755832490137,0.0014833420864768243,-0.0004316624096922794,0.0006241450722412202,0.007938481134814879,0.011280532619015465,0.010656387546774245,-3.734598227767812e-05,0.00762362283129292,0.005552731424487964,0.005590077406765642,0.041005655807687606,0.022420315346494135,0.04411518577960735,0.003109529971919746
25.20536902400338,19.208682442951194,-0.0007468885115322621,-0.005848408688866158,0.000641356707104886,0.00022474241910686032,0.0035667939033074466,0.0029254371962025606,-3.8375845822777545e-05,0.009737770341864405,0.0076668789350594485,0.007705254780882226,0.04213829954050993,0.028386661201775354,0.05008153163488857,0.007943232094378638
25.5505408782689,19.208682442951194,-0.0007468885115322621,-0.005848408688866158,0.0006590429708087549,0.00022474241910686032,0.0035667939033074466,0.0029077509324986917,-3.943410919005494e-05,0.009737770341864405,0.0076668789350594485,0.007706313044249504,0.04330228103293559,0.028386661201775354,0.05008153163488857,0.006779250601952981
25.900439646425806,19.260624419357548,-0.005533115332045924,-0.008520775834739425,0.0006772169515705715,-0.008916527289585474,-0.005574475805384888,-0.00625169275695546,-4.052155552966579e-05,-0.008979216440366145,-0.0110501078471711,-0.011009586291641435,0.04449847023533605,0.03848958157401228,0.060184452007125494,0.015685981771789446
