frequency_hz,48000_common_measured_db,48000_common_fitted_db,48000_bank_measured_db,48000_half0_theory_db,48000_half1_theory_db,352800_common_measured_db,352800_common_fitted_db,352800_bank_measured_db,352800_half0_theory_db,352800_half1_theory_db
22.0,-0.022260299752159853,0.0004884456233783073,0.01373255866174546,0.013503195409335212,-0.0008697244399006903,-0.00739186736440293,0.0005792449562880342,0.0028687479270588095,0.015996836641323203,-0.0010303540367915726
22.250694392627366,-0.022260299752159853,0.00049964096744954,0.01373255866174546,0.013812661472271344,-0.0008896586160523042,-0.00739186736440293,0.0005925214278655024,0.0028687479270588095,0.016363445278339852,-0.0010539698329259646
22.50424549791359,-0.01976117313315632,0.0005110929097555882,0.00840260986988291,0.014129219160273486,-0.0009100496826985557,0.006142568927342848,0.0006061021969808697,-0.006338580482892833,0.016738454693177036,-0.0010781269006956888
22.760685868669803,0.0007292124610035131,0.0005228073316277713,0.027661840516021458,0.014453030949831186,-0.0009309081116074973,0.016216806192959253,0.0006199942379892953,-0.028647795460658113,0.017122057341658725,-0.0011028376460161698
23.020048428652906,0.0007292124610035131,0.0005347902488730602,0.027661840516021458,0.014784263038917536,-0.0009522446144531704,0.016216806192959253,0.0006342046853044425,-0.028647795460658113,0.01751445008724495,-0.0011281147589513548
23.282366476792625,0.0007292124610035131,0.0005470478156187575,0.027661840516021458,0.015123085428795957,-0.000974070148766203,0.016216806192959253,0.0006487408366711528,-0.028647795460658113,0.017915834298306555,-0.0011539712202668754
23.547673691466596,-0.015891701730610976,0.0005595863266431388,-0.015701945643957698,0.015469672018808599,-0.0009963959227738005,0.027239180638506354,0.0006636101572266962,0.011663161247938522,0.018326415960101435,-0.0011804203083309998
23.816004134824308,0.009599752244933,0.00057241222116779,-0.036324868506508,0.015824200684231394,-0.0010192334018257008,0.013017262909561919,0.0006788202830411286,0.018493657137343508,0.018746405770305043,-0.001207475605950622
24.08739225716025,0.009599752244933,0.0005855320860885935,-0.036324868506508,0.016186853381226156,-0.001042594314010467,0.013017262909561919,0.0006943790255098466,0.018493657137343508,0.01917601924785914,-0.0012351510069127662
24.361872901336884,0.0033669637482830125,0.0005989526589558558,-0.010564734182825147,0.016557816227214594,-0.0010664906560548353,-0.022903947151576433,0.0007102943746968224,-0.00386657084444543,0.01961547685203159,-0.0012634607238692936
24.63948130725805,0.0033669637482830125,0.0006126808322309604,-0.010564734182825147,0.016937279603667265,-0.0010909346998649208,-0.022903947151576433,0.0007265745039446435,-0.00386657084444543,0.02006500408516508,-0.0012924192948344532
24.920253116393344,-0.009290137304482173,0.0006267236559846076,0.007332933168275064,0.017325438248542997,-0.0011159389985577613,-0.016062347199105077,0.0007432277741024735,-0.008442537716417245,0.02052483161361441,-0.0013220415911732678
25.204224376354002,-0.009290137304482173,0.0006410883417944233,0.007332933168275064,0.017722491363338474,-0.0011415163929505525,-0.016062347199105077,0.0007602627372967174,-0.008442537716417245,0.02099519538659297,-0.0013523428252868862
25.491431545521003,0.01938116980158385,0.0006557822668468064,0.028982201366556454,0.018128642708402875,-0.0011676800179530513,0.0009668584559993833,0.0007776881419240964,-0.0020947999967489,0.021476336754444863,-0.0013833385576998006
25.781911497725847,-0.009065918776551087,0.0006708129772324665,0.05131954495906939,0.018544100711415407,-0.0011944433097861515,-0.0041182258409214,0.0007955129367168499,-0.006171075123864181,0.02196850258820278,-0.001415044706078792
26.07570152698471,-0.009065918776551087,0.0006861881919283163,0.05131954495906939,0.018969078567274675,-0.0012218200125462277,-0.0041182258409214,0.0008137462757371905,-0.006171075123864181,0.02247194541579859,-0.0014474775525224835
