frequency_hz,stock_mean_db,baseline_repeatability_db,stock_after_delta_db,etymotic_evo_2flange_expected_db,etymotic_evo_2flange_measured_raw_db,etymotic_evo_2flange_measured_normalized_db,etymotic_evo_2flange_error_db
22.0,18.936627914880354,0.02136935145568586,-0.004089192594953772,-9.673889361602049,-9.675765286932567,-9.629613009007938,0.044276352594110335
22.301276318811666,18.969978184440052,0.006777642321868171,0.010660074596067659,-9.674782216117862,-9.690652305846157,-9.644500027921529,0.030282188196332882
22.606678429454096,18.969978184440052,0.006777642321868171,0.010660074596067659,-9.675701516671495,-9.690652305846157,-9.644500027921529,0.03120148874996609
22.91626283208068,19.04536528306894,0.004350774413794056,0.0043607174423030415,-9.676648083780265,-9.679106250639485,-9.632953972714857,0.04369411106540788
23.230086800579315,19.04536528306894,0.004350774413794056,0.0043607174423030415,-9.677622764956501,-9.679106250639485,-9.632953972714857,0.04466879224164444
23.548208393168135,19.12073584045212,0.011150728532477672,-0.0036406624445817215,-9.678626434795216,-9.687866772272852,-9.641714494348223,0.036911940446993086
23.87068646313649,19.12073584045212,0.011150728532477672,-0.0036406624445817215,-9.679659996877223,-9.687866772272852,-9.641714494348223,0.03794550252900031
24.197580669732915,19.15528150290865,0.02163302098579578,-0.005493444651573753,-9.680724384363035,-9.683022994493786,-9.636870716569158,0.04385366779387745
24.528951489202257,19.15528150290865,0.02163302098579578,-0.005493444651573753,-9.681820561355934,-9.683022994493786,-9.636870716569158,0.04494984478677644
24.86486022597392,19.15528150290865,0.02163302098579578,-0.005493444651573753,-9.68294952298286,-9.683022994493786,-9.636870716569158,0.046078806413701656
25.20536902400338,19.192841972643475,0.009792314949205405,0.0018605541974672235,-9.684112297239324,-9.688980990473675,-9.642828712549047,0.0412835846902766
25.5505408782689,19.192841972643475,0.009792314949205405,0.0018605541974672235,-9.685309945885862,-9.688980990473675,-9.642828712549047,0.042481233336815194
25.900439646425806,19.23838291356586,-0.0028511104370956275,0.0068444840547385866,-9.686543565727703,-9.686216962695587,-9.640064684770959,0.04647888095674446
26.255130060620306,19.23838291356586,-0.0028511104370956275,0.0068444840547385866,-9.687814288655876,-9.686216962695587,-9.640064684770959,0.04774960388491678
26.61467773946509,19.2630869244012,-0.010680297300606156,0.0026886898334481657,-9.689123284907165,-9.691662285056797,-9.645510007132168,0.04361327777499646
26.979149200178938,19.2630869244012,-0.010680297300606156,0.0026886898334481657,-9.690471762263371,-9.691662285056797,-9.645510007132168,0.04496175513120271
27.348611870892608,19.306148453845555,-0.00984780022443843,0.008378296842966648,-9.691860968384628,-9.669596073026714,-9.623443795102085,0.06841717328254227
27.723134103123137,19.306148453845555,-0.00984780022443843,0.008378296842966648,-9.69329219140398,-9.669596073026714,-9.623443795102085,0.06984839630189477
28.1027851844191,19.359740726386548,0.009827048843082054,0.005378844756307899,-9.694766761458078,-9.68813123908779,-9.641978961163161,0.05278780029491692
28.487635351178962,19.383819710608286,0.01838217861773117,0.00689754075395399,-9.696286052974928,-9.674625201857666,-9.628472923933037,0.06781312904189107
28.877755801644962,19.421791029787947,0.01735112401247818,0.011424104229355692,-9.697851483940523,-9.699290422872588,-9.65313814494796,0.04471333899256358
29.273218709075053,19.458458380632713,-0.00022600037010178653,0.005771358203375598,-9.699464519492704,-9.708060723756232,-9.661908445831603,0.0375560736611007
29.674097235095008,19.480259110295883,-0.0011070010910003703,0.004416681737367867,-9.70112667151125,-9.70621037735681,-9.660058099432181,0.041068572079069554
30.080465543233597,19.494798487239116,0.015292978839006821,0.004799084333431125,-9.702839501217463,-9.715982035360671,-9.669829757436043,0.0330097437814203
30.492398812642993,19.515412239758597,0.0012143788209826312,-0.001700024947407286,-9.704604620425648,-9.721329404854409,-9.67517712692978,0.029427493495868262
30.909973252007102,19.5368398164671,-0.0013783360924364274,-0.0037123577389657214,-9.706423692361007,-9.700319871071379,-9.65416759314675,0.052256099214256224
31.333266113640352,19.54638157635987,0.0020620701948566023,-0.0009082974036758173,-9.708298433931416,-9.713798416667068,-9.66764613874244,0.04065229518897695
31.762355707779626,19.553922531623602,0.006295448691414407,0.007108523829767677,-9.710230616821896,-9.707017909563756,-9.660865631639128,0.049364985182767995
32.19732141707175,19.564582122088076,0.009977184607215861,0.0056527754140986985,-9.712222069359516,-9.712034918530252,-9.665882640605624,0.04633942875389252
32.63824371125954,19.58447581886779,0.0025967365068986226,0.008809234588380122,-9.714274677641376,-9.717564470573837,-9.671412192649209,0.04286248499216683
33.085204162068926,19.60392345054963,0.0027487273443185245,-0.004473183498681976,-9.71639038725097,-9.701240398909732,-9.655088120985104,0.06130226626586577
33.538285458299846,19.615676960143514,-0.0044828610385714285,-0.0013132026462692181,-9.718571205083027,-9.709851816449394,-9.663699538524765,0.05487166655826137
33.99757142112401,19.617178997165162,-0.0034852432399574695,0.0037873207140926013,-9.720819200875352,-9.717840165271287,-9.671687887346659,0.04913131352869371
34.46314701959187,19.617022633836566,-0.009132354061851089,-0.0007164786130182677,-9.723136508219522,-9.70784780950017,-9.66169553157554,0.06144097664398096
34.93509838635224,19.618394572279247,-0.011145989568323245,0.002410056997383947,-9.725525327094552,-9.72327846225837,-9.677126184333742,0.048399142760809255
35.41351283358695,19.618394572279247,-0.011145989568323245,0.002410056997383947,-9.727987924254604,-9.72327846225837,-9.677126184333742,0.05086173992086174
35.8984788691639,19.63585752857546,-0.0070977732177546216,0.015878395000523682,-9.730526636003061,-9.726823281949422,-9.680671004024793,0.04985563197826792
36.390086213011166,19.662493973917428,-0.001993835722750248,0.0037298440659263576,-9.733143869160441,-9.716359379359643,-9.670207101435015,0.06293676772542689
36.8884258137155,19.662493973917428,-0.001993835722750248,0.0037298440659263576,-9.735842102322161,-9.716359379359643,-9.670207101435015,0.06563500088714669
37.393589865347934,19.68445167397741,0.008732760090449432,0.004315751088324049,-9.738623887532968,-9.724575444054935,-9.678423166130306,0.06020072140266208
37.90567182452,19.707560040890918,0.009937485311063199,0.0016937850446652192,-9.741491852546744,-9.725395049487437,-9.679242771562809,0.062249080983935556
38.42476642767339,19.707560040890918,0.009937485311063199,0.0016937850446652192,-9.744448700548404,-9.725395049487437,-9.679242771562809,0.06520592898559485
38.95096970860644,19.72347113166818,-0.0030622212177497943,-0.0058860947642003225,-9.747497213527486,-9.71966824595879,-9.673515968034161,0.07398124549332508
39.48437901624071,19.727700542715354,-0.002453333551741821,-0.006835279025956709,-9.750640251572406,-9.725764360091194,-9.679612082166566,0.07102816940584056
40.02509303263061,19.73203236462971,-0.004806363080291476,-0.004455950219607985,-9.753880755866282,-9.748716961669007,-9.702564683744379,0.051316072121903034
