frequency_hz,target_db,fitted_iir_db,error_db
61.652098,-1.0917388,-1.2500064,-0.15826758
62.209857,-1.0993856,-1.2622045,-0.1628189
62.772662,-1.1133818,-1.2745415,-0.16115969
63.340558,-1.1308952,-1.2870177,-0.15612249
63.913592,-1.1506587,-1.2996335,-0.14897471
64.491811,-1.1711021,-1.312389,-0.1412869
65.07526,-1.1890987,-1.3252846,-0.13618591
65.663988,-1.2024954,-1.3383203,-0.13582497
66.258042,-1.2108087,-1.3514965,-0.14068781
66.857471,-1.2139358,-1.3648131,-0.15087729
67.462322,-1.2124715,-1.3782701,-0.1657986
68.072646,-1.2079054,-1.3918677,-0.18396236
68.68849,-1.2035907,-1.4056058,-0.20201511
69.309907,-1.20232,-1.4194842,-0.2171642
69.936945,-1.2059458,-1.4335029,-0.22755703
70.569656,-1.2155893,-1.4476615,-0.23207226
71.208091,-1.2313833,-1.46196,-0.23057671
71.852302,-1.2522987,-1.476398,-0.22409925
72.502341,-1.2761564,-1.4909751,-0.21481865
73.158261,-1.2994232,-1.5056909,-0.20626769
73.820115,-1.3190247,-1.520545,-0.20152031
74.487956,-1.3331508,-1.5355369,-0.20238612
75.16184,-1.3413426,-1.5506659,-0.20932326
75.84182,-1.3446794,-1.5659314,-0.22125202
76.527951,-1.345614,-1.5813328,-0.23571879
77.22029,-1.3474502,-1.5968692,-0.24941905
77.918893,-1.3535589,-1.6125399,-0.25898096
78.623815,-1.3665237,-1.6283439,-0.26182024
79.335116,-1.387439,-1.6442803,-0.25684135
80.052851,-1.4155602,-1.6603481,-0.24478789
80.777079,-1.4484249,-1.6765462,-0.22812132
81.507859,-1.4824564,-1.6928735,-0.2104171
82.245251,-1.5139261,-1.7093287,-0.19540261
82.989314,-1.5400141,-1.7259106,-0.18589647
83.740108,-1.5596303,-1.7426177,-0.18298747
84.497694,-1.5737012,-1.7594488,-0.18574756
85.262135,-1.5848082,-1.7764022,-0.19159398
86.033491,-1.5963037,-1.7934765,-0.19717278
86.811825,-1.6112211,-1.8106699,-0.19944882
87.597201,-1.6313474,-1.8279809,-0.19663345
88.389682,-1.6567478,-1.8454075,-0.18865973
89.189333,-1.6858737,-1.862948,-0.17707429
89.996218,-1.7162011,-1.8806005,-0.16439934
90.810403,-1.7451753,-1.8983629,-0.15318762
91.631953,-1.7708316,-1.9162331,-0.14540152
92.460936,-1.793419,-1.9342091,-0.14079013
93.297419,-1.8144632,-1.9522887,-0.1378255
94.14147,-1.8361066,-1.9704694,-0.13436284
94.993156,-1.8602839,-1.988749,-0.12846514
95.852547,-1.8880322,-2.007125,-0.11909287
96.719714,-1.9193038,-2.025595,-0.10629118
97.594725,-1.9529214,-2.0441562,-0.091234778
98.477653,-1.9872245,-2.0628061,-0.075581628
99.368568,-2.021333,-2.081542,-0.060209002
100.26754,-2.0550961,-2.100361,-0.045264907
101.17465,-2.0888822,-2.1192602,-0.030377933
102.08997,-2.1229348,-2.1382367,-0.015301881
103.01356,-2.1566035,-2.1572874,-0.00068388024
103.94551,-2.1883583,-2.1764094,0.011948936
104.88589,-2.2155909,-2.1955993,0.019991661
105.83478,-2.2373888,-2.214854,0.022534861
106.79226,-2.2548111,-2.2341701,0.020640954
107.7584,-2.2706278,-2.2535443,0.017083484
108.73327,-2.2893226,-2.2729732,0.016349468
109.71697,-2.3136723,-2.2924531,0.021219181
110.70957,-2.3443117,-2.3119806,0.032331032
111.71114,-2.3777712,-2.331552,0.046219155
112.72178,-2.4085807,-2.3511636,0.057417153
113.74156,-2.4311192,-2.3708116,0.060307592
114.77056,-2.4455029,-2.3904921,0.055010827
115.80888,-2.4561667,-2.4102013,0.045965388
116.85659,-2.4712622,-2.4299353,0.041326864
117.91378,-2.4965602,-2.44969,0.046870227
118.98053,-2.535752,-2.4694612,0.066290765
120.05693,-2.5810233,-2.489245,0.091778316
121.14307,-2.621888,-2.5090371,0.11285089
122.23904,-2.6502928,-2.5288333,0.12145946
123.34492,-2.6625798,-2.5486294,0.11395046
124.4608,-2.6676095,-2.5684208,0.099188698
125.58679,-2.678477,-2.5882034,0.090273651
126.72295,-2.7035724,-2.6079726,0.095599747
127.8694,-2.7463577,-2.627724,0.11863369
129.02622,-2.7948987,-2.6474531,0.14744563
130.1935,-2.8359034,-2.6671553,0.16874812
131.37135,-2.8601496,-2.686826,0.17332356
132.55985,-2.8706727,-2.7064606,0.16421205
133.7591,-2.8794072,-2.7260544,0.1533527
134.9692,-2.8991916,-2.7456028,0.15358882
136.19025,-2.9335174,-2.765101,0.16841637
137.42235,-2.9738159,-2.7845442,0.18927167
138.66559,-3.0045634,-2.8039277,0.20063569
139.92009,-3.0164242,-2.8232467,0.19317744
141.18593,-3.0101488,-2.8424964,0.16765245
142.46322,-3.0005118,-2.8616718,0.13884006
143.75206,-2.9998167,-2.8807682,0.11904858
145.05257,-3.0124423,-2.8997806,0.11266168
146.36484,-3.0330578,-2.9187043,0.1143535
147.68899,-3.0517313,-2.9375342,0.1141971
149.02511,-3.0647644,-2.9562655,0.10849891
150.37333,-3.0755958,-2.9748933,0.10070247
151.73373,-3.0905795,-2.9934127,0.09716679
153.10645,-3.1130541,-3.0118188,0.10123529
154.49159,-3.1409986,-3.0301066,0.11089195
155.88925,-3.1695302,-3.0482713,0.12125892
157.29956,-3.1948902,-3.066308,0.1285822
158.72263,-3.2142954,-3.0842118,0.13008367
160.15858,-3.2248492,-3.1019778,0.12287144
161.60751,-3.225478,-3.1196012,0.1058768
163.06956,-3.2208812,-3.1370771,0.083804135
164.54483,-3.2211009,-3.1544008,0.066700073
166.03344,-3.2334897,-3.1715675,0.061922273
167.53553,-3.2540897,-3.1885723,0.065517431
169.0512,-3.2698522,-3.2054106,0.064441634
170.58059,-3.2731664,-3.2220777,0.051088684
172.12381,-3.2735864,-3.2385689,0.035017559
173.68099,-3.2906664,-3.2548795,0.035786917
175.25226,-3.3290005,-3.271005,0.057995502
176.83775,-3.3691557,-3.2869409,0.08221479
178.43758,-3.3863739,-3.3026826,0.083691296
180.05188,-3.3794543,-3.3182257,0.061228619
181.68079,-3.3745841,-3.3335657,0.04101835
183.32443,-3.3955029,-3.3486984,0.046804536
184.98295,-3.4308884,-3.3636193,0.067269099
186.65646,-3.4504797,-3.3783243,0.072155362
188.34512,-3.4424072,-3.3928093,0.049597946
190.04906,-3.4325043,-3.4070699,0.025434384
191.76841,-3.4489929,-3.4211023,0.027890555
193.50331,-3.4870829,-3.4349024,0.052180471
195.25391,-3.5147779,-3.4484663,0.066311647
197.02035,-3.51845,-3.4617901,0.05665988
198.80277,-3.5187527,-3.4748701,0.043882613
200.60132,-3.5393265,-3.4877025,0.051623963
202.41613,-3.5738111,-3.5002838,0.073527281
204.24737,-3.5964148,-3.5126104,0.083804441
206.09517,-3.5968597,-3.5246788,0.072180919
207.95968,-3.588343,-3.5364857,0.051857274
209.84107,-3.58228,-3.5480278,0.034252199
211.73948,-3.5767159,-3.5593018,0.017414028
213.65506,-3.5664854,-3.5703048,-0.0038194045
215.58797,-3.5513366,-3.5810336,-0.029697037
217.53837,-3.5350808,-3.5914854,-0.056404545
219.50641,-3.5292649,-3.6016573,-0.072392389
221.49226,-3.5466043,-3.6115466,-0.064942268
223.49607,-3.5806329,-3.6211507,-0.040517869
225.51801,-3.6037503,-3.6304671,-0.026716833
227.55825,-3.6057802,-3.6394935,-0.033713219
