frequency_hz,stock_mean_db,baseline_repeatability_db,stock_after_delta_db,corrected_pk_1000_plus12_q1_expected_db,corrected_pk_1000_plus12_q1_measured_raw_db,corrected_pk_1000_plus12_q1_measured_normalized_db,corrected_pk_1000_plus12_q1_error_db,corrected_pk_4000_minus12_q1_expected_db,corrected_pk_4000_minus12_q1_measured_raw_db,corrected_pk_4000_minus12_q1_measured_normalized_db,corrected_pk_4000_minus12_q1_error_db,corrected_three_band_100p9_1000m9_6000p9_expected_db,corrected_three_band_100p9_1000m9_6000p9_measured_raw_db,corrected_three_band_100p9_1000m9_6000p9_measured_normalized_db,corrected_three_band_100p9_1000m9_6000p9_error_db
22.0,18.954716550824777,-0.0024211801138562805,-0.010819312223389943,0.007838320477408737,0.010214294307349547,0.010755511293540531,0.002917190816131794,-0.0004886095242859424,0.01156298527011046,0.005007015900044445,0.005495625424330387,0.5227633077806227,0.42175153343098515,0.0367539781325984,-0.48600932964802435
22.301276318811666,18.991641696460892,0.0032603405419813214,-0.01197108552156223,0.008054459847632651,0.003972453065905768,0.004513670052096751,-0.0035407897955359,-0.00050208351601226,0.0018727176097783627,-0.004683251760287652,-0.0041811682442753914,0.537449548225585,0.4396081860537713,0.054610630755384526,-0.48283891747020047
22.606678429454096,18.991641696460892,0.0032603405419813214,-0.01197108552156223,0.00827655884619548,0.003972453065905768,0.004513670052096751,-0.0037628887940987284,-0.0005159290678213132,0.0018727176097783627,-0.004683251760287652,-0.004167322692466339,0.552555201255592,0.4396081860537713,0.054610630755384526,-0.49794457050020746
22.91626283208068,19.060440825764132,0.004725504562927085,-0.005929061213333142,0.008504781776800035,0.008304715800129259,0.008845932786320242,0.00034115100952020715,-0.0005301564258755735,0.0012920917036041146,-0.0052638776664619,-0.004733721240586327,0.5680925785031784,0.48275570146936175,0.097758146170975,-0.4703344323322034
23.230086800579315,19.060440825764132,0.004725504562927085,-0.005929061213333142,0.008739297473813096,0.008304715800129259,0.008845932786320242,0.00010663531250714592,-0.0005447761186359433,0.0012920917036041146,-0.0052638776664619,-0.004719101547825956,0.5840743675348938,0.48275570146936175,0.097758146170975,-0.48631622136391883
23.548208393168135,19.123340147596814,-0.0014142042293023849,0.0002733715077418708,0.008980279427392527,0.010573794871682196,0.01111501185787318,0.002134732430480653,-0.0005597989653582817,0.007953707986757763,0.0013977386166917488,0.0019575375820500306,0.6005136440838013,0.5147735365719726,0.1297759812735858,-0.47073766281021545
23.87068646313649,19.123340147596814,-0.0014142042293023849,0.0002733715077418708,0.009227905904695063,0.010573794871682196,0.01111501185787318,0.0018871059531781163,-0.0005752360831350779,0.007953707986757763,0.0013977386166917488,0.001972974699826827,0.61742388330659,0.5147735365719726,0.1297759812735858,-0.48764790203300423
24.197580669732915,19.157002778575126,-0.00625482071758654,-5.047625445797621e-05,0.00948236008993985,0.00949570367578545,0.010036920661976433,0.0005545605720365838,-0.0005910988959145484,0.01510076160391094,0.008544792233844925,0.009135891129759474,0.6348189737809816,0.5506722082178683,0.16567465291948158,-0.46914432086150004
24.528951489202257,19.157002778575126,-0.00625482071758654,-5.047625445797621e-05,0.00974383021346924,0.00949570367578545,0.010036920661976433,0.0002930904485071925,-0.0006073991426329507,0.01510076160391094,0.008544792233844925,0.009152191376477875,0.6527132301014561,0.5506722082178683,0.16567465291948158,-0.4870385771819745
24.86486022597392,19.157002778575126,-0.00625482071758654,-5.047625445797621e-05,0.010012509698104497,0.00949570367578545,0.010036920661976433,2.4410963871936142e-05,-0.0006241488857610987,0.01510076160391094,0.008544792233844925,0.009168941119606023,0.671121405839014,0.5506722082178683,0.16567465291948158,-0.5054467529195324
25.20536902400338,19.202760535011933,0.0021586936505322285,-0.006733761916532188,0.010288597291883573,0.014504610442436672,0.015045827428627655,0.0047572301367440825,-0.0006413605206894416,0.009523573748893455,0.0029676043788274403,0.003608964899516882,0.6900587081374777,0.578660368347677,0.19366281304929023,-0.4963958950881875
25.5505408782689,19.202760535011933,0.0021586936505322285,-0.006733761916532188,0.010572297225615033,0.014504610442436672,0.015045827428627655,0.004473530203012622,-0.0006590467843219086,0.009523573748893455,0.0029676043788274403,0.003626651163149349,0.709540811837182,0.578660368347677,0.19366281304929023,-0.5158779987878918
25.900439646425806,19.251369579396588,0.006400651421419212,-0.009690883985797427,0.010863819352503752,0.010347541973047214,0.010888758959238198,2.4939606734445535e-05,-0.0006772207649732165,-0.002185404144832148,-0.008741373514898163,-0.008064152749924947,0.7295838740511128,0.6019420645802569,0.21694450928187015,-0.5126393647692427
26.255130060620306,19.251369579396588,0.006400651421419212,-0.009690883985797427,0.011163379315443658,0.010347541973047214,0.010888758959238198,-0.0002746203562054607,-0.0006958959118655838,-0.002185404144832148,-0.008741373514898163,-0.00804547760303258,0.7502045494688538,0.6019420645802569,0.21694450928187015,-0.5332600401869837
26.61467773946509,19.273804897918513,0.013726790046671766,-0.004608027529567238,0.01147119869669573,0.018039741169328494,0.018580958155519477,0.007109759458823747,-0.0007150860449896515,0.009467258585214466,0.002911289215148452,0.0036263752601381036,0.7714200057713894,0.6519366915853269,0.2669391362869401,-0.5044808694844493
26.979149200178938,19.273804897918513,0.013726790046671766,-0.004608027529567238,0.011787505185411586,0.018039741169328494,0.018580958155519477,0.006793452970107892,-0.0007348053654096919,0.009467258585214466,0.002911289215148452,0.003646094580558144,0.7932479402434361,0.6519366915853269,0.2669391362869401,-0.526308803956496
27.348611870892608,19.308315314813264,0.0031286517190700636,0.008204089617592558,0.012112532746830666,0.01477508977512798,0.015316306761318964,0.003203774014488299,-0.0007550684659292426,0.01397767377087078,0.007421704400804766,0.008176772866734008,0.8157065953849805,0.6986284931344962,0.3136309378361094,-0.5020756575488711
27.723134103123137,19.308315314813264,0.0031286517190700636,0.008204089617592558,0.012446521793276329,0.01477508977512798,0.015316306761318964,0.002869784968042636,-0.0007758903416600752,0.01397767377087078,0.007421704400804766,0.00819759474246484,0.83881477648036,0.6986284931344962,0.3136309378361094,-0.5251838386442506
28.1027851844191,19.371695811181727,-0.011540200056035843,-0.006099071868316486,0.012789719360680647,0.0033315987085309473,0.003872815694721931,-0.008916903665958716,-0.000797286401217846,0.0035155537956050864,-0.003040415574460928,-0.002243129173243082,0.8625918691216121,0.7219347066201287,0.33693715132174196,-0.5256547177998702
28.487635351178962,19.39619284404141,-0.0161401351042052,-0.007936958477181122,0.013142379293460963,0.009802579473898732,0.010343796460089715,-0.002798582833371248,-0.0008192724780767335,0.0033255774456861786,-0.0032303919243798357,-0.0024111194463031023,0.8870578565749272,0.7456201987273516,0.3606226434289649,-0.5264352131459623
28.877755801644962,19.4297925979564,0.013688171345997091,0.0011166986542932023,0.013504762429784106,0.011566901961824527,0.012108118948015511,-0.001396643481768595,-0.0008418648424553787,0.007948414343879051,0.0013924449738130368,0.0022343098162684156,0.9122333381466609,0.7768748804381858,0.391877325139799,-0.5203560130068619
29.273218709075053,19.470723453309574,0.019909516470502098,-0.0020785936433753704,0.013877136798199935,0.0070691381188936475,0.007610355105084631,-0.006266781693115304,-0.000865080212917308,0.0014602796689118236,-0.005095689701154191,-0.004230609488236883,0.9381395482641164,0.7860804267426076,0.40108287144422083,-0.5370566768198956
29.674097235095008,19.482715250844997,0.013863106638311251,-0.0030669611082920767,0.014259777810290376,0.01681722411943909,0.017358441105630073,0.003098663295339697,-0.0008889357694199232,0.006150313569996513,-0.0004056558000695015,0.00048327996935042163,0.9647983754311805,0.8096192365005663,0.4246216812021796,-0.5401766942290009
30.080465543233597,19.498075041725876,0.009969406649759094,-0.008861232366989213,0.014652968466004286,0.019673583907486858,0.02021480089367784,0.0055618324276735555,-0.0009134491655167916,0.00981341462225771,0.003257445252191696,0.004170894417708487,0.9922323819749401,0.8172433033231492,0.43224574802476246,-0.5599866339501777
30.492398812642993,19.519332409784646,0.007129663194536562,-0.015856465732060343,0.01505699956608899,0.020696128768268096,0.02123734575445908,0.00618034618837009,-0.0009386385413248375,0.0024435081050100393,-0.004112461265055975,-0.0031738227237311373,1.0204648235956588,0.8435543486581167,0.45855679335973,-0.5619080302359288
30.909973252007102,19.54777737925864,-0.009457912501734,-0.00968376025476303,0.015472169919371125,0.018080960377453437,0.01862217736364442,0.003150007444273295,-0.0009645225375101501,0.00011208791030625775,-0.006443881459759757,-0.005479358922249607,1.04951967072731,0.8838126109194668,0.4988150556210801,-0.5507046151062299
