frequency_hz,44100_common_measured_db,44100_common_fitted_db,44100_bank_measured_db,44100_half0_theory_db,44100_half1_theory_db,48000_common_measured_db,48000_common_fitted_db,48000_bank_measured_db,48000_half0_theory_db,48000_half1_theory_db,88200_common_measured_db,88200_common_fitted_db,88200_bank_measured_db,88200_half0_theory_db,88200_half1_theory_db,96000_common_measured_db,96000_common_fitted_db,96000_bank_measured_db,96000_half0_theory_db,96000_half1_theory_db,176400_common_measured_db,176400_common_fitted_db,176400_bank_measured_db,176400_half0_theory_db,176400_half1_theory_db,192000_common_measured_db,192000_common_fitted_db,192000_bank_measured_db,192000_half0_theory_db,192000_half1_theory_db,352800_common_measured_db,352800_common_fitted_db,352800_bank_measured_db,352800_half0_theory_db,352800_half1_theory_db,384000_common_measured_db,384000_common_fitted_db,384000_bank_measured_db,384000_half0_theory_db,384000_half1_theory_db
22.0,0.02461849654868546,0.0005794913162591036,-0.03753513671916153,0.015996836641323203,-0.0010303540367915726,0.07004590471075228,0.0004993746553839282,0.07348631183481807,0.013503195409335212,-0.0008697244399006903,0.007762712785806217,0.0005790260517332282,-0.038083069355847814,0.015996836641323203,-0.0010303540367915726,-0.015547541219819924,0.0004887814717338839,-0.033693281085522164,0.013503195409335212,-0.0008697244399006903,-0.013076807946024699,0.0005787489210684331,-0.034017557359275766,0.015996836641323203,-0.0010303540367915726,0.052950140263801466,0.0004884682620029789,0.0457571517168428,0.013503195409335212,-0.0008697244399006903,0.011636119117003865,0.0005683195809454326,0.02733125379289536,0.015996836641323203,-0.0010303540367915726,-0.022591850326155127,0.0004879850874754376,0.033029502513130714,0.013503195409335212,-0.0008697244399006903
22.250694392627366,0.02461849654868546,0.0005927734343845583,-0.03753513671916153,0.016363445278339852,-0.0010539698329259646,0.07004590471075228,0.000510820493898648,0.07348631183481807,0.013812661472271344,-0.0008896586160523042,0.007762712785806217,0.0005922975060092013,-0.038083069355847814,0.016363445278339852,-0.0010539698329259646,-0.015547541219819924,0.0004999845134522836,-0.033693281085522164,0.013812661472271344,-0.0008896586160523042,-0.013076807946024699,0.0005920140235026956,-0.034017557359275766,0.016363445278339852,-0.0010539698329259646,0.052950140263801466,0.0004996641249988627,0.0457571517168428,0.013812661472271344,-0.0008896586160523042,0.011636119117003865,0.0005813456422467623,0.02733125379289536,0.016363445278339852,-0.0010539698329259646,-0.022591850326155127,0.0004991698760285046,0.033029502513130714,0.013812661472271344,-0.0008896586160523042
22.50424549791359,0.030684470406570002,0.0006063599794388315,0.016749962380349426,0.016738454693177036,-0.0010781269006956888,0.05653068570816383,0.0005225286718050171,0.05074567825573666,0.014129219160273486,-0.0009100496826985557,-0.009065414193680552,0.0006058731428005449,-0.0020736447305795755,0.016738454693177036,-0.0010781269006956888,0.0001819914350570523,0.0005114443299332348,-0.028188609928091912,0.014129219160273486,-0.0009100496826985557,-0.01422947310879516,0.0006055831628496617,0.016600782926104604,0.016738454693177036,-0.0010781269006956888,-0.0037914725474462087,0.0005111165980938408,0.04573849401702035,0.014129219160273486,-0.0009100496826985557,-0.039058046893323414,0.0005946702616702936,-0.00831558809081745,0.016738454693177036,-0.0010781269006956888,0.010552141950428362,0.0005106110208605624,0.05192162346481951,0.014129219160273486,-0.0009100496826985557
22.760685868669803,0.08734022343931473,0.0006202579288959969,0.09395247987896205,0.017122057341658725,-0.0011028376460161698,0.03322123280960493,0.0005345052022904564,0.010515119748804196,0.014453030949831186,-0.0009309081116074973,-0.0505523167329993,0.0006197599338679004,0.042940936980517604,0.017122057341658725,-0.0011028376460161698,0.05468371154133224,0.0005231668063538511,0.07333930404488442,0.014453030949831186,-0.0009309081116074973,0.004270731777824027,0.0006194633075352412,0.031498963325782545,0.017122057341658725,-0.0011028376460161698,-0.042249456339838835,0.0005228315628621171,0.054116946848769776,0.014453030949831186,-0.0009309081116074973,-0.06820316287826748,0.0006083002821609285,-0.032935486294847216,0.017122057341658725,-0.0011028376460161698,0.040632988307231555,0.000522314397750985,0.07293895175354245,0.014453030949831186,-0.0009309081116074973
23.020048428652906,0.08734022343931473,0.0006344744199973556,0.09395247987896205,0.01751445008724495,-0.0011281147589513548,0.03322123280960493,0.0005467562357153033,0.010515119748804196,0.014784263038917536,-0.0009522446144531704,-0.0505523167329993,0.0006339650109205518,0.042940936980517604,0.01751445008724495,-0.0011281147589513548,0.05468371154133224,0.0005351579628142386,0.07333930404488442,0.014784263038917536,-0.0009522446144531704,0.004270731777824027,0.0006336615858665673,0.031498963325782545,0.01751445008724495,-0.0011281147589513548,-0.042249456339838835,0.0005348150355425401,0.054116946848769776,0.014784263038917536,-0.0009522446144531704,-0.06820316287826748,0.0006222427033869309,-0.032935486294847216,0.01751445008724495,-0.0011281147589513548,0.040632988307231555,0.0005342860170339798,0.07293895175354245,0.014784263038917536,-0.0009522446144531704
23.282366476792625,0.08734022343931473,0.000649016753737657,0.09395247987896205,0.017915834298306555,-0.0011539712202668754,0.03322123280960493,0.0005592880636367148,0.010515119748804196,0.015123085428795957,-0.000974070148766203,-0.0505523167329993,0.0006484956689469565,0.042940936980517604,0.017915834298306555,-0.0011539712202668754,0.05468371154133224,0.000547423957568894,0.07333930404488442,0.015123085428795957,-0.000974070148766203,0.004270731777824027,0.0006481852893567478,0.031498963325782545,0.017915834298306555,-0.0011539712202668754,-0.042249456339838835,0.0005470731703355747,0.054116946848769776,0.015123085428795957,-0.000974070148766203,-0.06820316287826748,0.0006365046855951613,-0.032935486294847216,0.017915834298306555,-0.0011539712202668754,0.040632988307231555,0.0005465320267007865,0.07293895175354245,0.015123085428795957,-0.000974070148766203
23.547673691466596,0.03110695577392734,0.0006638923982648652,0.0009143003894739321,0.018326415960101435,-0.0011804203083309998,0.06637151632105304,0.0005721071219588034,0.057215855544276266,0.015469672018808599,-0.0009963959227738005,-0.05357411721826176,0.000663359370206574,0.013866274350858417,0.018326415960101435,-0.0011804203083309998,0.007263279663057967,0.0005599710898009074,0.02535589146979711,0.015469672018808599,-0.0009963959227738005,-0.0001831278341040965,0.0006630418767764795,0.027074742814757788,0.018326415960101435,-0.0011804203083309998,-0.047819182491391436,0.0005596122624590757,0.02360619809541753,0.015469672018808599,-0.0009963959227738005,-0.0523520637808496,0.0006510935531209292,-0.0379081581204721,0.018326415960101435,-0.0011804203083309998,0.030097832063816055,0.0005590587157601626,0.0428151641650932,0.015469672018808599,-0.0009963959227738005
23.816004134824308,-0.0847621062299609,0.0006791089930839218,-0.03895529574270207,0.018746405770305043,-0.001207475605950622,0.07212550934571144,0.0005852199939765599,0.09922122297930408,0.015824200684231394,-0.0010192334018257008,-0.03732573927137815,0.000678563748013218,0.003016032906902451,0.018746405770305043,-0.001207475605950622,0.005533603149168523,0.0005728058030960857,0.05171995092099935,0.015824200684231394,-0.0010192334018257008,0.03356657771721486,0.000678238977650058,0.046086784399925126,0.018746405770305043,-0.001207475605950622,-0.07450782777730151,0.0005724387515163449,0.04588433261817493,0.015824200684231394,-0.0010192334018257008,-0.03654037738782605,0.0006660167979574412,-0.06401492331734193,0.018746405770305043,-0.001207475605950622,0.016356527206938976,0.0005718725174155235,0.009291071711723907,0.015824200684231394,-0.0010192334018257008
24.08739225716025,-0.0847621062299609,0.0006946743527916734,-0.03895529574270207,0.01917601924785914,-0.0012351510069127662,0.07212550934571144,0.0005986334137937609,0.09922122297930408,0.016186853381226156,-0.001042594314010467,-0.03732573927137815,0.0006941166106570588,0.003016032906902451,0.01917601924785914,-0.0012351510069127662,0.005533603149168523,0.0005859346889304298,0.05171995092099935,0.016186853381226156,-0.001042594314010467,0.03356657771721486,0.0006937843965110164,0.046086784399925126,0.01917601924785914,-0.0012351510069127662,-0.07450782777730151,0.0005855592244416961,0.04588433261817493,0.016186853381226156,-0.001042594314010467,-0.03654037738782605,0.0006812820841562437,-0.06401492331734193,0.01917601924785914,-0.0012351510069127662,0.016356527206938976,0.0005849800122515783,0.009291071711723907,0.016186853381226156,-0.001042594314010467
24.361872901336884,-0.030894898274615185,0.0007105964709022305,0.006313173118017157,0.01961547685203159,-0.0012634607238692936,0.08730781798607029,0.0006123542698814995,0.057177529334209325,0.016557816227214594,-0.0010664906560548353,0.03685743044066682,0.000710025945264702,0.019476785109382673,0.01961547685203159,-0.0012634607238692936,0.05956768004838055,0.0005993644895789009,0.0633726579377234,0.016557816227214594,-0.0010664906560548353,-0.03843966392134321,0.0007096861168335622,0.005390955496927851,0.01961547685203159,-0.0012634607238692936,-0.01745270976335616,0.000598980419419775,0.039029866845157746,0.016557816227214594,-0.0010664906560548353,-0.019258672644560867,0.0006968972511378503,-0.006774122358545576,0.01961547685203159,-0.0012634607238692936,-0.0012879412259719225,0.0005983879316599546,0.019387438785003118,0.016557816227214594,-0.0010664906560548353
